Level 1 (map); unique palletes used: 14; unique colors used: 121
LEVEL PALETTES: 0,1,2,3,5,6,7,8,9,A,B,C,E,F
LEVEL COLORS: 000,035,040,046,050,060,064,086,090,0A7,0C9,0E0,110,111,146,257,340,345,368,430,431,433,435,440,450,455,456,479,533,540,544,554,556,560,566,567,58A,600,640,641,644,650,653,665,666,670,678,747,750,753,754,763,776,777,778,780,789,7EC,842,853,857,864,868,874,887,889,899,89C,900,940,974,975,985,986,990,998,A53,A64,A74,A75,A8A,A96,A97,AA0,AAA,ABC,AFD,B5A,B75,B87,BA7,C64,C75,C84,C85,C86,C95,CA8,CAC,CB8,CC0,CCA,D86,DA6,DB8,DE0,E70,E98,EA7,EC7,ED8,EEA,EEF,EF0,F85,FB9,FC4,FC8,FF9,FFA,FFF

Level 2 (map); unique palletes used: 14; unique colors used: 110
LEVEL PALETTES: 0,1,2,3,5,6,7,9,A,B,C,D,E,F
LEVEL COLORS: 000,035,040,046,050,060,064,086,090,0A7,0C9,0E0,110,111,146,257,340,345,368,430,431,433,440,450,455,456,479,533,540,544,554,556,560,566,567,58A,600,641,644,650,653,665,666,670,678,747,750,753,754,763,776,777,778,780,789,7EC,842,864,868,874,887,889,899,89C,900,940,974,975,985,986,990,998,A53,A74,A75,A8A,A96,A97,AA0,AAA,ABC,AFD,B87,BA7,C64,C84,C85,C86,C95,CA8,CAC,CB8,CC0,CCA,DA6,DB8,DE0,E70,EA7,EC7,ED8,EEA,EEF,EF0,F85,FC4,FC8,FF9,FFA,FFF

Level 3 (map); unique palletes used: 13; unique colors used: 109
LEVEL PALETTES: 1,2,3,5,6,7,8,9,A,C,D,E,F
LEVEL COLORS: 000,040,046,050,060,064,086,090,0A7,0C9,0E0,110,111,340,345,430,431,433,435,440,450,455,456,533,540,544,554,556,560,567,600,640,641,644,650,653,666,670,678,700,747,750,753,754,763,777,778,780,789,7EC,842,853,857,864,868,874,889,89C,900,940,974,975,985,986,990,998,A53,A64,A74,A8A,A96,A97,AA0,AAA,AFD,B5A,B75,B87,BA7,C64,C70,C75,C84,C85,C95,CA8,CAC,CB8,CC0,CCA,D86,D90,DA6,DB8,DD0,DE0,E70,E98,EC7,ED8,EEA,EEF,EF0,F85,FB9,FC4,FF9,FFA,FFF

Level 4 (map); unique palletes used: 14; unique colors used: 100
LEVEL PALETTES: 1,2,4,5,6,7,8,9,A,B,C,D,E,F
LEVEL COLORS: 000,035,040,046,050,064,086,0A7,0C9,110,111,146,257,340,345,430,431,433,435,440,450,456,520,533,540,560,566,567,640,641,650,665,666,670,678,700,730,750,753,763,776,780,789,7EC,842,853,857,864,874,887,899,89C,900,940,974,985,986,990,998,A53,A64,A74,A75,A96,A97,AA0,AAA,AFD,B50,B5A,B75,B87,BA7,C64,C70,C75,C84,C85,C86,CB8,CC0,CCA,D60,D86,D90,DA6,DB8,DD0,DE0,E70,E98,EA7,EC7,EEF,EF0,F80,FB9,FC8,FF9,FFA

Level 5 (map); unique palletes used: 16; unique colors used: 99
LEVEL PALETTES: 0,1,2,3,4,5,6,7,8,9,A,B,C,D,E,F
LEVEL COLORS: 000,035,040,046,110,111,340,345,430,433,435,440,450,455,456,520,533,540,544,554,556,560,566,567,600,640,641,644,650,665,666,670,678,730,747,750,753,754,763,776,778,789,842,853,864,868,874,887,889,899,89C,900,940,974,975,985,986,990,998,A53,A64,A74,A75,A8A,A96,A97,AAA,B50,B75,B87,BA7,C64,C75,C84,C85,C86,C95,CA8,CAC,CB8,CCA,D60,D86,DA6,DB8,DD0,E70,E98,EA7,EC7,EEA,EEF,F80,F85,FB9,FC4,FC8,FF9,FFA

Level 6 (map); unique palletes used: 12; unique colors used: 101
LEVEL PALETTES: 1,3,4,6,7,8,9,A,B,C,E,F
LEVEL COLORS: 000,035,040,046,050,060,064,086,090,0A7,0C9,0E0,110,111,146,257,340,345,430,433,435,440,456,520,540,554,560,566,567,640,641,644,650,665,666,678,700,730,747,750,753,754,763,776,777,789,7EC,842,853,864,868,874,887,89C,900,940,974,975,985,986,998,A53,A64,A74,A75,A8A,A96,A97,AAA,ABC,AFD,B50,B87,BA7,C64,C70,C75,C85,C86,C95,CA8,CAC,CB8,CCA,D60,D86,D90,DA6,DB8,DD0,E70,E98,EA7,EC7,ED8,F80,F85,FB9,FC8,FFA,FFF

Level 7 (map); unique palletes used: 14; unique colors used: 107
LEVEL PALETTES: 1,2,3,5,6,7,8,9,A,B,C,D,E,F
LEVEL COLORS: 000,035,046,060,090,0E0,110,111,146,257,340,345,368,430,431,433,435,450,455,456,479,533,540,544,556,560,566,567,58A,600,640,641,644,650,653,665,666,670,678,700,747,750,753,754,763,776,777,778,780,789,842,857,864,868,874,887,889,899,89C,900,940,974,975,985,986,990,998,A53,A74,A75,A8A,A96,A97,AAA,ABC,B5A,B75,B87,BA7,C64,C70,C84,C85,C86,C95,CA8,CAC,CB8,CC0,CCA,DA6,DB8,DD0,DE0,E70,EA7,EC7,ED8,EEA,EEF,EF0,F85,FC4,FC8,FF9,FFA,FFF

Level 8 (map); unique palletes used: 13; unique colors used: 98
LEVEL PALETTES: 1,4,5,6,7,8,9,A,B,C,D,E,F
LEVEL COLORS: 000,035,040,046,050,064,086,0A7,0C9,110,111,146,257,340,368,431,433,435,450,455,479,520,533,540,554,560,566,567,58A,600,640,641,650,665,666,670,678,700,730,750,753,754,763,776,780,789,7EC,842,853,857,864,874,887,899,89C,900,940,974,985,986,990,998,A53,A64,A74,A75,A96,A97,AA0,AAA,ABC,AFD,B50,B5A,B75,B87,BA7,C64,C75,C85,C86,CB8,CC0,CCA,D86,DA6,DB8,DE0,E70,E98,EA7,EC7,EF0,F85,FB9,FC8,FF9,FFA

TILES:
Row 1: 
  000    TILE 0x0210; PAL: F;     ; Colors: 4 - 111,431,533,641
  062    TILE 0x022A; PAL: F;     ; Colors: 7 - 753,864,A74,C85,DA6,EC7,FF9
  063    TILE 0x022B; PAL: F;     ; Colors: 7 - 753,864,A74,C85,DA6,EC7,FF9
  064    TILE 0x0218; PAL: F;     ; Colors: 4 - 111,431,533,641
  065    TILE 0x0219; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  066    TILE 0x021A; PAL: F;     ; Colors: 5 - 641,753,864,A74,C85
  067    TILE 0x021B; PAL: F;     ; Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  068    TILE 0x021C; PAL: F;     ; Colors: 5 - 753,864,A74,C85,DA6
  069    TILE 0x0231; PAL: F;     ; Colors: 6 - 533,641,753,864,A74,C85
  070    TILE 0x0232; PAL: F;     ; Colors: 7 - 533,641,753,864,A74,C85,DA6
  071    TILE 0x0233; PAL: F;     ; Colors: 5 - 533,641,753,864,A74
  072    TILE 0x0230; PAL: F;     ; Colors: 6 - 533,641,753,864,A74,C85
  073    TILE 0x0231; PAL: F;     ; Colors: 6 - 533,641,753,864,A74,C85
  074    TILE 0x0232; PAL: F;     ; Colors: 7 - 533,641,753,864,A74,C85,DA6
  075    TILE 0x0233; PAL: F;     ; Colors: 5 - 533,641,753,864,A74
  076    TILE 0x0230; PAL: F;     ; Colors: 6 - 533,641,753,864,A74,C85
  077    TILE 0x0231; PAL: F;     ; Colors: 6 - 533,641,753,864,A74,C85
  078    TILE 0x0232; PAL: F;     ; Colors: 7 - 533,641,753,864,A74,C85,DA6
  079    TILE 0x0233; PAL: F;     ; Colors: 5 - 533,641,753,864,A74
  080    TILE 0x0208; PAL: F;     ; Colors: 4 - 111,431,533,641
  081    TILE 0x0209; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  082    TILE 0x020A; PAL: F;     ; Colors: 7 - 533,641,753,864,A74,C85,DA6
  083    TILE 0x020B; PAL: F;     ; Colors: 6 - 641,753,864,A74,C85,DA6
  084    TILE 0x0220; PAL: F;     ; Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  085    TILE 0x020B; PAL: F; (FL); Colors: 6 - 641,753,864,A74,C85,DA6
  086    TILE 0x020A; PAL: F; (FL); Colors: 7 - 533,641,753,864,A74,C85,DA6
  087    TILE 0x02E0; PAL: F; (FL); Colors: 5 - 431,533,641,753,864
  088    TILE 0x02E0; PAL: F; (FL); Colors: 5 - 431,533,641,753,864
  089    TILE 0x0239; PAL: F;     ; Colors: 6 - 111,431,533,641,753,864
  090    TILE 0x023A; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  091    TILE 0x023B; PAL: F;     ; Colors: 6 - 111,431,533,641,753,864
  092    TILE 0x0238; PAL: F;     ; Colors: 5 - 111,431,533,641,753
  093    TILE 0x0239; PAL: F;     ; Colors: 6 - 111,431,533,641,753,864
  094    TILE 0x023A; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  095    TILE 0x023B; PAL: F;     ; Colors: 6 - 111,431,533,641,753,864
  096    TILE 0x0210; PAL: F;     ; Colors: 4 - 111,431,533,641
  097    TILE 0x0211; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  098    TILE 0x0212; PAL: F;     ; Colors: 5 - 641,753,864,A74,C85
  099    TILE 0x0213; PAL: F;     ; Colors: 6 - 641,753,864,A74,C85,DA6
  100    TILE 0x0228; PAL: F;     ; Colors: 6 - 753,864,A74,C85,DA6,EC7
  101    TILE 0x0213; PAL: F; (FL); Colors: 6 - 641,753,864,A74,C85,DA6
  102    TILE 0x0212; PAL: F; (FL); Colors: 5 - 641,753,864,A74,C85
  103    TILE 0x02E8; PAL: F; (FL); Colors: 5 - 431,533,641,753,864
  104    TILE 0x0257; PAL: F; (FL); Colors: 5 - 110,111,431,533,641
  105    TILE 0x02E4; PAL: E; (FL); Colors: 5 - 000,035,146,257,368
  106    TILE 0x02E3; PAL: E; (FL); Colors: 8 - 000,035,146,257,368,479,58A,ABC
  107    TILE 0x02E3; PAL: E;     ; Colors: 8 - 000,035,146,257,368,479,58A,ABC
  108    TILE 0x02E4; PAL: E;     ; Colors: 5 - 000,035,146,257,368
  109    TILE 0x022C; PAL: E;     ; Colors: 1 - 000
  110    TILE 0x02E4; PAL: E; (FL); Colors: 5 - 000,035,146,257,368
  111    TILE 0x02E4; PAL: E;     ; Colors: 5 - 000,035,146,257,368
  112    TILE 0x0218; PAL: F;     ; Colors: 4 - 111,431,533,641
  113    TILE 0x0219; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  114    TILE 0x021A; PAL: F;     ; Colors: 5 - 641,753,864,A74,C85
  115    TILE 0x021B; PAL: F;     ; Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  116    TILE 0x021C; PAL: F;     ; Colors: 5 - 753,864,A74,C85,DA6
  117    TILE 0x021B; PAL: F; (FL); Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  118    TILE 0x021A; PAL: F; (FL); Colors: 5 - 641,753,864,A74,C85
  119    TILE 0x02BE; PAL: F; (FL); Colors: 5 - 431,533,641,753,864
  120    TILE 0x027A; PAL: F; (FL); Colors: 4 - 111,431,533,641
  121    TILE 0x02F6; PAL: E; (FL); Colors: 4 - 000,035,146,257
  122    TILE 0x02F5; PAL: E; (FL); Colors: 8 - 000,035,146,257,368,479,58A,ABC
  123    TILE 0x02F5; PAL: E;     ; Colors: 8 - 000,035,146,257,368,479,58A,ABC
  124    TILE 0x02F6; PAL: E;     ; Colors: 4 - 000,035,146,257
  125    TILE 0x022C; PAL: E;     ; Colors: 1 - 000
  126    TILE 0x02F6; PAL: E; (FL); Colors: 4 - 000,035,146,257
  127    TILE 0x02F6; PAL: E;     ; Colors: 4 - 000,035,146,257

Row 2: 
  000    TILE 0x0208; PAL: F;     ; Colors: 4 - 111,431,533,641
  001    TILE 0x0209; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  002    TILE 0x020A; PAL: F;     ; Colors: 7 - 533,641,753,864,A74,C85,DA6
  003    TILE 0x020B; PAL: F;     ; Colors: 6 - 641,753,864,A74,C85,DA6
  004    TILE 0x0220; PAL: F;     ; Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  005    TILE 0x020B; PAL: F; (FL); Colors: 6 - 641,753,864,A74,C85,DA6
  006    TILE 0x020A; PAL: F; (FL); Colors: 7 - 533,641,753,864,A74,C85,DA6
  007    TILE 0x02E0; PAL: F; (FL); Colors: 5 - 431,533,641,753,864
  008    TILE 0x024F; PAL: F; (FL); Colors: 5 - 110,111,431,533,641
  009    TILE 0x02FE; PAL: E; (FL); Colors: 6 - 000,035,146,257,368,479
  010    TILE 0x02FD; PAL: E; (FL); Colors: 7 - 000,035,146,257,368,479,58A
  011    TILE 0x02FD; PAL: E;     ; Colors: 7 - 000,035,146,257,368,479,58A
  012    TILE 0x02F7; PAL: E;     ; Colors: 6 - 000,035,146,257,368,479
  013    TILE 0x022C; PAL: E;     ; Colors: 1 - 000
  014    TILE 0x02FE; PAL: E; (FL); Colors: 6 - 000,035,146,257,368,479
  015    TILE 0x02FE; PAL: E;     ; Colors: 6 - 000,035,146,257,368,479
  016    TILE 0x0210; PAL: F;     ; Colors: 4 - 111,431,533,641
  017    TILE 0x0211; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  018    TILE 0x0212; PAL: F;     ; Colors: 5 - 641,753,864,A74,C85
  019    TILE 0x0213; PAL: F;     ; Colors: 6 - 641,753,864,A74,C85,DA6
  020    TILE 0x0228; PAL: F;     ; Colors: 6 - 753,864,A74,C85,DA6,EC7
  021    TILE 0x0213; PAL: F; (FL); Colors: 6 - 641,753,864,A74,C85,DA6
  022    TILE 0x0212; PAL: F; (FL); Colors: 5 - 641,753,864,A74,C85
  023    TILE 0x02E8; PAL: F; (FL); Colors: 5 - 431,533,641,753,864
  024    TILE 0x0257; PAL: F; (FL); Colors: 5 - 110,111,431,533,641
  025    TILE 0x02EE; PAL: E; (FL); Colors: 5 - 000,035,146,257,368
  026    TILE 0x02ED; PAL: E; (FL); Colors: 8 - 000,035,146,257,368,479,58A,ABC
  027    TILE 0x02ED; PAL: E;     ; Colors: 8 - 000,035,146,257,368,479,58A,ABC
  028    TILE 0x02EE; PAL: E;     ; Colors: 5 - 000,035,146,257,368
  029    TILE 0x022C; PAL: E;     ; Colors: 1 - 000
  030    TILE 0x02EE; PAL: E; (FL); Colors: 5 - 000,035,146,257,368
  031    TILE 0x02EE; PAL: E;     ; Colors: 5 - 000,035,146,257,368
  032    TILE 0x0218; PAL: F;     ; Colors: 4 - 111,431,533,641
  033    TILE 0x0219; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  034    TILE 0x021A; PAL: F;     ; Colors: 5 - 641,753,864,A74,C85
  035    TILE 0x021B; PAL: F;     ; Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  036    TILE 0x021C; PAL: F;     ; Colors: 5 - 753,864,A74,C85,DA6
  037    TILE 0x021B; PAL: F; (FL); Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  038    TILE 0x021A; PAL: F; (FL); Colors: 5 - 641,753,864,A74,C85
  039    TILE 0x02BE; PAL: F; (FL); Colors: 5 - 431,533,641,753,864
  040    TILE 0x027A; PAL: F; (FL); Colors: 4 - 111,431,533,641
  041    TILE 0x02F6; PAL: E; (FL); Colors: 4 - 000,035,146,257
  042    TILE 0x02F5; PAL: E; (FL); Colors: 8 - 000,035,146,257,368,479,58A,ABC
  043    TILE 0x02F5; PAL: E;     ; Colors: 8 - 000,035,146,257,368,479,58A,ABC
  044    TILE 0x02F6; PAL: E;     ; Colors: 4 - 000,035,146,257
  045    TILE 0x022C; PAL: E;     ; Colors: 1 - 000
  046    TILE 0x02F6; PAL: E; (FL); Colors: 4 - 000,035,146,257
  047    TILE 0x02F6; PAL: E;     ; Colors: 4 - 000,035,146,257
  048    TILE 0x0208; PAL: F;     ; Colors: 4 - 111,431,533,641
  049    TILE 0x0209; PAL: F;     ; Colors: 5 - 431,533,641,753,864
  050    TILE 0x020A; PAL: F;     ; Colors: 7 - 533,641,753,864,A74,C85,DA6
  051    TILE 0x020B; PAL: F;     ; Colors: 6 - 641,753,864,A74,C85,DA6
  052    TILE 0x0220; PAL: F;     ; Colors: 7 - 641,753,864,A74,C85,DA6,EC7
  053    TILE 0x020B; PAL: F; (FL); Colors: 6 - 641,753,864,A74,C85,DA6
